Localitate,Judet,Suprafata utila,Suprafata construita/amprenta,Suprafata construita desfasurata,Suprafata teren,An constructie,Finisaje,,,,,
Bucuresti,zona Chitila,102 mp,129 mp,"149,33 mp",2012,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Verticale ; Rulouri/Obloane: Aluminiu ; Usa intrare: Lemn ; Izolatii termice: Interior, Exterior ; Podele: Parchet ; Usi interior: Celulare ; Pereti: Vopsea lavabila ; ",,,,,,
Bucuresti,zona Chitila,102 mp,129 mp,"149,33 mp",2012,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Verticale ; Rulouri/Obloane: Aluminiu ; Usa intrare: Lemn ; Izolatii termice: Interior, Exterior ; Podele: Parchet ; Usi interior: Celulare ; Pereti: Vopsea lavabila ; ",,,,,,
Bucuresti,zona Chitila,102 mp,129 mp,"149,33 mp",2012,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Verticale ; Rulouri/Obloane: Aluminiu ; Usa intrare: Lemn ; Izolatii termice: Interior, Exterior ; Podele: Parchet ; Usi interior: Celulare ; Pereti: Vopsea lavabila ; ",,,,,,
Bucuresti,zona Chitila,102 mp,129 mp,"149,33 mp",2012,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Verticale ; Rulouri/Obloane: Aluminiu ; Usa intrare: Lemn ; Izolatii termice: Interior, Exterior ; Podele: Parchet ; Usi interior: Celulare ; Pereti: Vopsea lavabila ; ",,,,,,
Bucuresti,zona Chitila,102 mp,129 mp,"149,33 mp",2012,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Verticale ; Rulouri/Obloane: Aluminiu ; Usa intrare: Lemn ; Izolatii termice: Interior, Exterior ; Podele: Parchet ; Usi interior: Celulare ; Pereti: Vopsea lavabila ; ",,,,,,
Bragadiru,zona Haliu,"41,1 mp",1 mp,48 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Interior, Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,
https://www.imobiliare.ro/vanzare-apartamente/b,"41,1 mp",1 mp,48 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Interior, Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,60 mp,2019 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , ,,,,
"- <a class=""buton_harta semi-bold"">",70 mp,70 mp,80 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,33 mp,37 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,83 mp,83 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,59 mp,68 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,93 mp,100 mp,110 mp,2019 (in constructie),"Stare interior: Buna ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Mocheta, Gresie ; Usi interior: Celulare ; ",,,,,,,
"- <a class=""buton_harta semi-bold"">",128 mp,140 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
"- <a class=""buton_harta semi-bold"">","85,5 mp",5 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,"41,1 mp",1 mp,48 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Interior, Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,60 mp,2019 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , ,,,,
Bragadiru,70 mp,70 mp,80 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,33 mp,37 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,83 mp,83 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,59 mp,68 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,93 mp,100 mp,110 mp,2019 (in constructie),"Stare interior: Buna ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Mocheta, Gresie ; Usi interior: Celulare ; ",,,,,,,
Bragadiru,128 mp,140 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"85,5 mp",5 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,"41,1 mp",1 mp,48 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Interior, Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,60 mp,2019 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , ,,,,
Bragadiru,70 mp,70 mp,80 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,33 mp,37 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,83 mp,83 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,59 mp,68 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,93 mp,100 mp,110 mp,2019 (in constructie),"Stare interior: Buna ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Mocheta, Gresie ; Usi interior: Celulare ; ",,,,,,,
Bragadiru,128 mp,140 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"85,5 mp",5 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,112 mp,2019 (finalizata),,,,,,,,,,
Bragadiru,"41,1 mp",1 mp,48 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Interior, Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,60 mp,2019 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , ,,,,
Bragadiru,70 mp,70 mp,80 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,33 mp,37 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,83 mp,83 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,59 mp,68 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,93 mp,100 mp,110 mp,2019 (in constructie),"Stare interior: Buna ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Mocheta, Gresie ; Usi interior: Celulare ; ",,,,,,,
Bragadiru,128 mp,140 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"85,5 mp",5 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,112 mp,2019 (finalizata),,,,,,,,,,
Bragadiru,"70,63 mp",63 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,
"- <a class=""buton_harta semi-bold"">",85 mp,2013,,,,,,,,,,
"- <a class=""buton_harta semi-bold"">",57 mp,66 mp,2011,"Ferestre cu geam termopan: PVC ; Izolatii termice: Exterior ; Podele: Gresie ; Pereti: Vopsea lavabila, Faianta, Tapet ; ",,,,,,,,
Bragadiru,"38,62 mp",62 mp,2010,Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , ,,,,,
Bragadiru,31 mp,31 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,
"- <a class=""buton_harta semi-bold"">",255 mp,255 mp,311 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"90,13 mp",13 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,,
"- <a class=""buton_harta semi-bold"">",126 mp,126 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,107 mp,115 mp,130 mp,2014,"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,92 mp,2013,,,,,,,,,,
"- <a class=""buton_harta semi-bold"">",95 mp,117 mp,137 mp,2015,"Stare interior: Renovat ; Ferestre cu geam termopan: Aluminiu ; Jaluzele: Verticale ; Rulouri/Obloane: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila ; ",,,,,,,
Bragadiru,"41,1 mp",1 mp,48 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Interior, Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,60 mp,2019 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , ,,,,
Bragadiru,70 mp,70 mp,80 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,33 mp,37 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,83 mp,83 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,59 mp,68 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,93 mp,100 mp,110 mp,2019 (in constructie),"Stare interior: Buna ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Mocheta, Gresie ; Usi interior: Celulare ; ",,,,,,,
Bragadiru,128 mp,140 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"85,5 mp",5 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,112 mp,2019 (finalizata),,,,,,,,,,
Bragadiru,"70,63 mp",63 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,
Bragadiru,85 mp,2013,,,,,,,,,,
"- <a class=""buton_harta semi-bold"">",57 mp,66 mp,2011,"Ferestre cu geam termopan: PVC ; Izolatii termice: Exterior ; Podele: Gresie ; Pereti: Vopsea lavabila, Faianta, Tapet ; ",,,,,,,,
Bragadiru,"38,62 mp",62 mp,2010,Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , ,,,,,
Bragadiru,31 mp,31 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,
Bragadiru,255 mp,255 mp,311 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"90,13 mp",13 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,,
Bragadiru,126 mp,126 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,107 mp,115 mp,130 mp,2014,"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,92 mp,2013,,,,,,,,,,
Bragadiru,95 mp,117 mp,137 mp,2015,"Stare interior: Renovat ; Ferestre cu geam termopan: Aluminiu ; Jaluzele: Verticale ; Rulouri/Obloane: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila ; ",,,,,,,
Bragadiru,"30,68 mp",,,,,,,,,,,
Bragadiru,75 mp,75 mp,88 mp,2018,Usa intrare: Metal , Usi interior: Lemn , Pereti: Vopsea lavabila , ,,,,
Bragadiru,100 mp,100 mp,122 mp,2018,Stare interior: Buna , Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , Podele: Parchet , Usi interior: Celulare , Pereti: Vopsea lavabila , 
Bragadiru,132 mp,132 mp,140 mp,2012,"Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"56,85 mp",2009,,,,,,,,,,
Bragadiru,58 mp,58 mp,64 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: Aluminiu ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,61 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn, Sticla ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"78,81 mp",,,,,,,,,,,
Bragadiru,52 mp,56 mp,2011,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,"41,1 mp",1 mp,48 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Interior, Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,60 mp,2019 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , ,,,,
Bragadiru,70 mp,70 mp,80 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,33 mp,37 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,83 mp,83 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,59 mp,68 mp,2019 (in constructie),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,93 mp,100 mp,110 mp,2019 (in constructie),"Stare interior: Buna ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Mocheta, Gresie ; Usi interior: Celulare ; ",,,,,,,
Bragadiru,128 mp,140 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"85,5 mp",5 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
Bragadiru,112 mp,2019 (finalizata),,,,,,,,,,
Bragadiru,"70,63 mp",63 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,
Bragadiru,85 mp,2013,,,,,,,,,,
Bragadiru,57 mp,66 mp,2011,"Ferestre cu geam termopan: PVC ; Izolatii termice: Exterior ; Podele: Gresie ; Pereti: Vopsea lavabila, Faianta, Tapet ; ",,,,,,,,
Bragadiru,"38,62 mp",62 mp,2010,Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , ,,,,,
Bragadiru,31 mp,31 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usa intrare: Metal , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,
Bragadiru,255 mp,255 mp,311 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"90,13 mp",13 mp,2020 (in constructie),Ferestre cu geam termopan: PVC , Usi interior: Celulare , Pereti: Vopsea lavabila , ,,,,,
Bragadiru,126 mp,126 mp,157 mp,2008,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Jaluzele: Orizontale, Verticale ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare, PVC ; Pereti: Vinarom, Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,107 mp,115 mp,130 mp,2014,"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,92 mp,2013,,,,,,,,,,
Bragadiru,95 mp,117 mp,137 mp,2015,"Stare interior: Renovat ; Ferestre cu geam termopan: Aluminiu ; Jaluzele: Verticale ; Rulouri/Obloane: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila ; ",,,,,,,
Bragadiru,"30,68 mp",,,,,,,,,,,
Bragadiru,75 mp,75 mp,88 mp,2018,Usa intrare: Metal , Usi interior: Lemn , Pereti: Vopsea lavabila , ,,,,
Bragadiru,100 mp,100 mp,122 mp,2018,Stare interior: Buna , Ferestre cu geam termopan: PVC , Usa intrare: Metal , Izolatii termice: Exterior , Podele: Parchet , Usi interior: Celulare , Pereti: Vopsea lavabila , 
Bragadiru,132 mp,132 mp,140 mp,2012,"Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"56,85 mp",2009,,,,,,,,,,
Bragadiru,58 mp,58 mp,64 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: Aluminiu ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,52 mp,52 mp,61 mp,2019 (finalizata),"Stare interior: Renovat ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Lemn, Sticla ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,
Bragadiru,"78,81 mp",,,,,,,,,,,
Bragadiru,52 mp,56 mp,2011,"Stare interior: Buna ; Ferestre cu geam termopan: PVC ; Usa intrare: Metal ; Izolatii termice: Exterior ; Podele: Parchet, Gresie ; Usi interior: Celulare ; Pereti: Vopsea lavabila, Faianta ; ",,,,,,,,
